Feature 1,Feature 2,Feature 3,count,mean,std,min,25%,50%,75%,max
Protocol,Alerts/Warnings,Browser Minor,606.0000,0.2490,0.1458,0.0000,0.1429,0.2308,0.3333,0.7500
Protocol,Alerts/Warnings,Browser Patch,726.0000,0.2737,0.1637,0.0000,0.1429,0.2500,0.3750,0.8571
Protocol,Alerts/Warnings,OS Version,132.0000,0.0889,0.0809,0.0031,0.0407,0.0714,0.0987,0.4444
Protocol,Alerts/Warnings,OS Version Minor,84.0000,0.0714,0.0413,0.0051,0.0434,0.0620,0.0975,0.1735
Protocol,Alerts/Warnings,OS Version Patch,66.0000,0.0686,0.0479,0.0012,0.0296,0.0544,0.0930,0.2078
Protocol,Alerts/Warnings,Device Model,48.0000,0.0962,0.1215,0.0032,0.0258,0.0505,0.1041,0.5556
Protocol,Alerts/Warnings,Device Type,48.0000,0.0962,0.1215,0.0032,0.0258,0.0505,0.1041,0.5556
Protocol,Alerts/Warnings,Scale Packet Length,8541.0000,0.4900,0.2714,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Attack Signature,Browser Name,54.0000,0.0457,0.0275,0.0040,0.0270,0.0410,0.0629,0.1350
Protocol,Attack Signature,Browser Version,394.0000,0.1898,0.1611,0.0000,0.0883,0.1562,0.2308,1.0000
Protocol,Attack Signature,Browser Minor,606.0000,0.2462,0.1426,0.0000,0.1333,0.2308,0.3333,0.8571
Protocol,Attack Signature,Browser Patch,726.0000,0.2654,0.1573,0.0000,0.1429,0.2500,0.3636,1.0000
Protocol,Attack Signature,OS Version,132.0000,0.0772,0.0702,0.0000,0.0363,0.0573,0.0909,0.4167
Protocol,Attack Signature,OS Version Minor,84.0000,0.0711,0.0449,0.0054,0.0356,0.0619,0.1016,0.1724
Protocol,Attack Signature,OS Version Patch,66.0000,0.0707,0.0459,0.0039,0.0356,0.0669,0.0968,0.1837
Protocol,Attack Signature,Scale Packet Length,8537.0000,0.4883,0.2705,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Action Taken,Browser Name,81.0000,0.0546,0.0319,0.0034,0.0329,0.0524,0.0722,0.1937
Protocol,Action Taken,Browser Version,590.0000,0.2294,0.1953,0.0000,0.1053,0.1875,0.2857,1.0000
Protocol,Action Taken,Browser Minor,908.0000,0.3161,0.1845,0.0000,0.1818,0.3000,0.4286,1.0000
Protocol,Action Taken,Browser Patch,1089.0000,0.3246,0.1936,0.0000,0.1818,0.3077,0.4286,1.0000
Protocol,Action Taken,OS Name,45.0000,0.0375,0.0210,0.0040,0.0248,0.0313,0.0435,0.1046
Protocol,Action Taken,OS Version,198.0000,0.1080,0.1095,0.0000,0.0465,0.0811,0.1214,0.7500
Protocol,Action Taken,OS Version Minor,126.0000,0.0931,0.0554,0.0000,0.0473,0.0918,0.1250,0.2778
Protocol,Action Taken,OS Version Patch,99.0000,0.0911,0.0515,0.0028,0.0504,0.0913,0.1257,0.2615
Protocol,Action Taken,Device Brand,36.0000,0.1452,0.2293,0.0039,0.0208,0.0312,0.0803,0.8333
Protocol,Action Taken,Device Model,72.0000,0.1158,0.1688,0.0042,0.0299,0.0574,0.1032,0.8333
Protocol,Action Taken,Device Type,72.0000,0.1158,0.1688,0.0042,0.0299,0.0574,0.1032,0.8333
Protocol,Action Taken,Scale Packet Length,12318.0000,0.5967,0.2978,0.0000,0.4000,0.6000,0.8000,1.0000
Protocol,Severity Level,Browser Name,81.0000,0.0586,0.0331,0.0087,0.0317,0.0592,0.0736,0.1618
Protocol,Severity Level,Browser Version,592.0000,0.2357,0.1963,0.0000,0.1027,0.2000,0.2941,1.0000
Protocol,Severity Level,Browser Minor,909.0000,0.3132,0.1822,0.0000,0.1818,0.3000,0.4000,1.0000
Protocol,Severity Level,Browser Patch,1089.0000,0.3327,0.1995,0.0000,0.2000,0.3077,0.4545,1.0000
Protocol,Severity Level,OS Name,45.0000,0.0403,0.0242,0.0080,0.0210,0.0376,0.0562,0.1240
Protocol,Severity Level,OS Version,198.0000,0.1124,0.0944,0.0063,0.0498,0.0846,0.1429,0.5000
Protocol,Severity Level,OS Version Minor,126.0000,0.0966,0.0623,0.0000,0.0546,0.0915,0.1244,0.3247
Protocol,Severity Level,OS Version Patch,99.0000,0.0905,0.0545,0.0053,0.0512,0.0800,0.1280,0.2857
Protocol,Severity Level,Device Model,72.0000,0.1115,0.1359,0.0042,0.0323,0.0672,0.1044,0.6000
Protocol,Severity Level,Device Type,72.0000,0.1115,0.1359,0.0042,0.0323,0.0672,0.1044,0.6000
Protocol,Network Segment,Browser Name,81.0000,0.0554,0.0355,0.0047,0.0275,0.0487,0.0741,0.1514
Protocol,Network Segment,Browser Version,588.0000,0.2148,0.1753,0.0000,0.0927,0.1818,0.2857,1.0000
Protocol,Network Segment,Browser Minor,908.0000,0.3148,0.1792,0.0000,0.1818,0.3000,0.4286,1.0000
Protocol,Network Segment,Browser Patch,1089.0000,0.3341,0.2001,0.0000,0.2000,0.3077,0.4444,1.0000
Protocol,Network Segment,OS Version,198.0000,0.1072,0.1061,0.0038,0.0448,0.0765,0.1345,0.6667
Protocol,Network Segment,OS Version Minor,126.0000,0.0970,0.0631,0.0053,0.0480,0.0902,0.1365,0.2969
Protocol,Network Segment,OS Version Patch,99.0000,0.0900,0.0566,0.0034,0.0474,0.0833,0.1217,0.3125
Protocol,Network Segment,Device Model,72.0000,0.1104,0.1465,0.0053,0.0279,0.0572,0.1252,0.7143
Protocol,Network Segment,Device Type,72.0000,0.1104,0.1465,0.0053,0.0279,0.0572,0.1252,0.7143
Protocol,Network Segment,Packet Bin,27.0000,0.0294,0.0125,0.0052,0.0227,0.0288,0.0377,0.0490
Protocol,Firewall Logs,Browser Name,54.0000,0.0450,0.0313,0.0015,0.0248,0.0376,0.0563,0.1472
Protocol,Firewall Logs,Browser Version,396.0000,0.1913,0.1653,0.0000,0.0857,0.1589,0.2500,1.0000
Protocol,Firewall Logs,Browser Minor,606.0000,0.2502,0.1524,0.0000,0.1429,0.2308,0.3333,0.8750
Protocol,Firewall Logs,Browser Patch,726.0000,0.2620,0.1498,0.0000,0.1429,0.2353,0.3636,0.7778
Protocol,Firewall Logs,OS Version,132.0000,0.0855,0.0917,0.0100,0.0373,0.0627,0.0941,0.6667
Protocol,Firewall Logs,OS Version Minor,84.0000,0.0702,0.0443,0.0043,0.0366,0.0659,0.0952,0.1857
Protocol,Firewall Logs,OS Version Patch,66.0000,0.0758,0.0481,0.0061,0.0357,0.0711,0.1051,0.2447
Protocol,Firewall Logs,Device Model,48.0000,0.0899,0.1092,0.0051,0.0274,0.0513,0.1040,0.4667
Protocol,Firewall Logs,Device Type,48.0000,0.0899,0.1092,0.0051,0.0274,0.0513,0.1040,0.4667
Protocol,Firewall Logs,Scale Packet Length,8528.0000,0.4882,0.2711,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,IDS/IPS Alerts,Browser Name,54.0000,0.0434,0.0272,0.0027,0.0235,0.0406,0.0516,0.1259
Protocol,IDS/IPS Alerts,Browser Version,396.0000,0.1977,0.1690,0.0000,0.0882,0.1667,0.2574,1.0000
Protocol,IDS/IPS Alerts,Browser Minor,605.0000,0.2542,0.1489,0.0000,0.1389,0.2308,0.3500,0.8000
Protocol,IDS/IPS Alerts,Browser Patch,726.0000,0.2666,0.1495,0.0000,0.1538,0.2500,0.3571,0.8333
Protocol,IDS/IPS Alerts,OS Version,132.0000,0.0847,0.0788,0.0000,0.0377,0.0661,0.1032,0.5000
Protocol,IDS/IPS Alerts,OS Version Minor,84.0000,0.0753,0.0459,0.0017,0.0365,0.0713,0.1077,0.1957
Protocol,IDS/IPS Alerts,OS Version Patch,66.0000,0.0756,0.0487,0.0027,0.0420,0.0711,0.0990,0.2556
Protocol,IDS/IPS Alerts,Device Model,48.0000,0.1000,0.1505,0.0021,0.0215,0.0404,0.0997,0.7500
Protocol,IDS/IPS Alerts,Device Type,48.0000,0.1000,0.1505,0.0021,0.0215,0.0404,0.0997,0.7500
Protocol,IDS/IPS Alerts,Scale Packet Length,8553.0000,0.4909,0.2725,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Log Source,Browser Name,54.0000,0.0448,0.0269,0.0047,0.0235,0.0427,0.0565,0.1260
Protocol,Log Source,Browser Version,395.0000,0.1901,0.1555,0.0000,0.0863,0.1579,0.2500,1.0000
Protocol,Log Source,Browser Minor,606.0000,0.2500,0.1485,0.0000,0.1333,0.2353,0.3333,0.8333
Protocol,Log Source,Browser Patch,726.0000,0.2698,0.1601,0.0000,0.1429,0.2500,0.3750,1.0000
Protocol,Log Source,OS Version,132.0000,0.0916,0.0997,0.0037,0.0403,0.0674,0.0985,0.6667
Protocol,Log Source,OS Version Minor,84.0000,0.0786,0.0542,0.0045,0.0390,0.0702,0.1024,0.2388
Protocol,Log Source,OS Version Patch,66.0000,0.0713,0.0469,0.0000,0.0380,0.0644,0.0921,0.2212
Protocol,Log Source,Device Model,48.0000,0.0920,0.1204,0.0033,0.0204,0.0551,0.0980,0.6000
Protocol,Log Source,Device Type,48.0000,0.0920,0.1204,0.0033,0.0204,0.0551,0.0980,0.6000
Protocol,Log Source,Scale Packet Length,8530.0000,0.4855,0.2731,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Browser Name,Browser Version,609.0000,0.2475,0.1735,0.0000,0.1250,0.2188,0.3333,1.0000
Protocol,Browser Name,Browser Minor,333.0000,0.1705,0.1032,0.0000,0.0909,0.1667,0.2400,0.5000
Protocol,Browser Name,Browser Patch,695.0000,0.3172,0.2322,0.0000,0.1429,0.2500,0.4286,1.0000
Protocol,Browser Name,Browser Patch Minor,27.0000,0.0363,0.0220,0.0092,0.0240,0.0342,0.0392,0.1090
Protocol,Browser Name,OS Name,48.0000,0.0397,0.0228,0.0074,0.0244,0.0353,0.0517,0.1090
Protocol,Browser Name,OS Version,291.0000,0.1304,0.1043,0.0052,0.0643,0.1039,0.1649,0.7143
Protocol,Browser Name,OS Version Minor,162.0000,0.1077,0.0819,0.0092,0.0509,0.0925,0.1301,0.5455
Protocol,Browser Name,OS Version Patch,183.0000,0.1201,0.0907,0.0000,0.0545,0.0952,0.1652,0.5000
Protocol,Browser Name,OS Version Patch Minor,27.0000,0.0363,0.0220,0.0092,0.0240,0.0342,0.0392,0.1090
Protocol,Browser Name,Device Brand,60.0000,0.1108,0.1529,0.0061,0.0316,0.0455,0.1088,0.6667
Protocol,Browser Name,Device Model,72.0000,0.1094,0.1407,0.0061,0.0333,0.0560,0.1182,0.6667
Protocol,Browser Name,Device Type,72.0000,0.1094,0.1407,0.0061,0.0333,0.0560,0.1182,0.6667
Protocol,Browser Name,Packet Bin,81.0000,0.0589,0.0319,0.0023,0.0329,0.0563,0.0810,0.1615
Protocol,Browser Name,Global Source IP,54.0000,0.2108,0.2303,0.0094,0.0343,0.1014,0.3393,1.0000
Protocol,Browser Name,Global Destination IP,54.0000,0.2250,0.2530,0.0000,0.0339,0.0838,0.3561,1.0000
Protocol,Browser Name,Is Proxy,54.0000,0.0461,0.0284,0.0039,0.0257,0.0409,0.0648,0.1236
Protocol,Browser Version,Browser Minor,1026.0000,0.2956,0.2202,0.0000,0.1410,0.2373,0.4000,1.0000
Protocol,Browser Version,Browser Patch Minor,351.0000,0.2216,0.1763,0.0000,0.0987,0.1731,0.2857,1.0000
Protocol,Browser Version,OS Name,912.0000,0.2655,0.1629,0.0000,0.1429,0.2500,0.3636,0.8571
Protocol,Browser Version,OS Version Patch Minor,198.0000,0.1432,0.1184,0.0071,0.0772,0.1197,0.1853,0.8571
Protocol,Browser Version,Device Brand,581.0000,0.2128,0.1495,0.0000,0.1053,0.1829,0.2941,1.0000
Protocol,Browser Version,Device Model,1084.0000,0.3561,0.2693,0.0000,0.1619,0.2789,0.5000,1.0000
Protocol,Browser Version,Device Type,1084.0000,0.3561,0.2693,0.0000,0.1619,0.2789,0.5000,1.0000
Protocol,Browser Version,Packet Bin,584.0000,0.2310,0.1817,0.0000,0.1000,0.2000,0.3052,1.0000
Protocol,Browser Version,Global Source IP,269.0000,0.3231,0.3444,0.0052,0.0938,0.1594,0.4286,1.0000
Protocol,Browser Version,Global Destination IP,272.0000,0.3290,0.3511,0.0052,0.0935,0.1573,0.5000,1.0000
Protocol,Browser Version,Is Proxy,396.0000,0.1903,0.1612,0.0000,0.0854,0.1530,0.2414,1.0000
Protocol,Browser Minor,Browser Patch,678.0000,0.1852,0.1037,0.0000,0.1056,0.1667,0.2578,0.6154
Protocol,Browser Minor,Browser Patch Minor,306.0000,0.1769,0.1031,0.0000,0.0968,0.1667,0.2500,0.5000
Protocol,Browser Minor,OS Name,612.0000,0.2497,0.1566,0.0000,0.1333,0.2265,0.3529,1.0000
Protocol,Browser Minor,OS Version Minor,504.0000,0.2015,0.1460,0.0000,0.0968,0.1739,0.2759,1.0000
Protocol,Browser Minor,OS Version Patch,548.0000,0.2434,0.2043,0.0000,0.1071,0.1935,0.3052,1.0000
Protocol,Browser Minor,OS Version Patch Minor,303.0000,0.1785,0.1023,0.0000,0.0988,0.1667,0.2500,0.5000
Protocol,Browser Minor,Packet Bin,909.0000,0.3300,0.2024,0.0000,0.1875,0.3077,0.4444,1.0000
Protocol,Browser Minor,Global Source IP,347.0000,0.2642,0.2638,0.0000,0.1071,0.1818,0.2929,1.0000
Protocol,Browser Minor,Global Destination IP,349.0000,0.2690,0.2708,0.0000,0.1053,0.1818,0.2963,1.0000
Protocol,Browser Minor,Is Proxy,606.0000,0.2526,0.1453,0.0000,0.1521,0.2353,0.3333,0.8000
Protocol,Browser Patch,Browser Patch Minor,363.0000,0.1876,0.1068,0.0000,0.1071,0.1667,0.2536,0.6154
Protocol,Browser Patch,OS Name,1692.0000,0.4290,0.2561,0.0000,0.2500,0.4000,0.6000,1.0000
Protocol,Browser Patch,OS Version Patch Minor,363.0000,0.1876,0.1068,0.0000,0.1071,0.1667,0.2536,0.6154
Protocol,Browser Patch,Device Brand,1078.0000,0.3555,0.2299,0.0000,0.2000,0.3333,0.5000,1.0000
Protocol,Browser Patch,Device Model,1821.0000,0.5152,0.3171,0.0000,0.2500,0.5000,0.7500,1.0000
Protocol,Browser Patch,Device Type,1821.0000,0.5152,0.3171,0.0000,0.2500,0.5000,0.7500,1.0000
Protocol,Browser Patch,Packet Bin,1088.0000,0.3502,0.2231,0.0000,0.1978,0.3333,0.5000,1.0000
Protocol,Browser Patch,Global Source IP,414.0000,0.2721,0.2604,0.0000,0.1160,0.1890,0.3040,1.0000
Protocol,Browser Patch,Global Destination IP,417.0000,0.2750,0.2668,0.0000,0.1111,0.1905,0.3000,1.0000
Protocol,Browser Patch,Is Proxy,726.0000,0.2732,0.1513,0.0000,0.1667,0.2500,0.3636,0.9000
Protocol,Browser Patch Minor,OS Version,132.0000,0.1059,0.1022,0.0022,0.0449,0.0738,0.1397,0.7143
Protocol,Browser Patch Minor,OS Version Minor,84.0000,0.0780,0.0505,0.0076,0.0418,0.0681,0.1058,0.3134
Protocol,Browser Patch Minor,OS Version Patch,66.0000,0.0752,0.0471,0.0051,0.0402,0.0677,0.1000,0.1860
Protocol,Browser Patch Minor,Device Model,42.0000,0.0724,0.0825,0.0074,0.0219,0.0383,0.0835,0.4231
Protocol,Browser Patch Minor,Device Type,42.0000,0.0724,0.0825,0.0074,0.0219,0.0383,0.0835,0.4231
Protocol,Browser Patch Minor,Scale Packet Length,7992.0000,0.5372,0.3108,0.0000,0.2857,0.5000,0.7500,1.0000
Protocol,OS Name,OS Version,99.0000,0.0933,0.1030,0.0035,0.0330,0.0584,0.1098,0.5882
Protocol,OS Name,OS Version Minor,69.0000,0.0890,0.0978,0.0034,0.0424,0.0588,0.0968,0.6316
Protocol,OS Name,OS Version Patch,87.0000,0.0899,0.0772,0.0047,0.0399,0.0698,0.1133,0.4737
Protocol,OS Name,Is Proxy,30.0000,0.0306,0.0170,0.0020,0.0224,0.0308,0.0374,0.0756
Protocol,OS Version,OS Version Minor,153.0000,0.1098,0.1141,0.0061,0.0445,0.0691,0.1220,0.6316
Protocol,OS Version,OS Version Patch,177.0000,0.1272,0.1109,0.0000,0.0475,0.0886,0.1875,0.5882
Protocol,OS Version,OS Version Patch Minor,66.0000,0.0623,0.0648,0.0000,0.0276,0.0476,0.0700,0.4091
Protocol,OS Version,Device Brand,118.0000,0.2168,0.3009,0.0035,0.0344,0.0691,0.2034,1.0000
Protocol,OS Version,Device Model,154.0000,0.1993,0.2661,0.0035,0.0482,0.1015,0.1947,1.0000
Protocol,OS Version,Device Type,154.0000,0.1993,0.2661,0.0035,0.0482,0.1015,0.1947,1.0000
Protocol,OS Version,Packet Bin,198.0000,0.1224,0.1404,0.0000,0.0463,0.0841,0.1426,1.0000
Protocol,OS Version,Global Source IP,117.0000,0.3042,0.3459,0.0000,0.0421,0.0870,0.5000,1.0000
Protocol,OS Version,Global Destination IP,115.0000,0.3168,0.3611,0.0000,0.0402,0.0860,0.5000,1.0000
Protocol,OS Version,Is Proxy,132.0000,0.0836,0.0761,0.0067,0.0344,0.0644,0.1033,0.5833
Protocol,OS Version Minor,OS Version Patch,348.0000,0.1895,0.1146,0.0000,0.0988,0.1765,0.2593,0.6316
Protocol,OS Version Minor,OS Version Patch Minor,42.0000,0.0551,0.0302,0.0054,0.0358,0.0562,0.0704,0.1179
Protocol,OS Version Minor,Device Brand,82.0000,0.2123,0.3065,0.0034,0.0479,0.0751,0.1951,1.0000
Protocol,OS Version Minor,Device Model,112.0000,0.1926,0.2687,0.0068,0.0548,0.0807,0.1761,1.0000
Protocol,OS Version Minor,Device Type,112.0000,0.1926,0.2687,0.0068,0.0548,0.0807,0.1761,1.0000
Protocol,OS Version Minor,Packet Bin,126.0000,0.1015,0.0590,0.0027,0.0531,0.0930,0.1437,0.2692
Protocol,OS Version Minor,Global Source IP,74.0000,0.3061,0.3592,0.0000,0.0510,0.0835,0.5000,1.0000
Protocol,OS Version Minor,Global Destination IP,75.0000,0.3147,0.3769,0.0000,0.0498,0.0939,0.5833,1.0000
Protocol,OS Version Minor,Is Proxy,84.0000,0.0735,0.0426,0.0029,0.0431,0.0650,0.1066,0.1964
Protocol,OS Version Patch,OS Version Patch Minor,33.0000,0.0496,0.0371,0.0076,0.0229,0.0393,0.0633,0.1789
Protocol,OS Version Patch,Device Brand,81.0000,0.2572,0.3550,0.0068,0.0422,0.0851,0.2500,1.0000
Protocol,OS Version Patch,Device Model,150.0000,0.2172,0.2727,0.0068,0.0694,0.1116,0.2045,1.0000
Protocol,OS Version Patch,Device Type,150.0000,0.2172,0.2727,0.0068,0.0694,0.1116,0.2045,1.0000
Protocol,OS Version Patch,Packet Bin,99.0000,0.0965,0.0552,0.0072,0.0612,0.0946,0.1285,0.2769
Protocol,OS Version Patch,Global Source IP,60.0000,0.3345,0.3839,0.0079,0.0385,0.0951,0.5417,1.0000
Protocol,OS Version Patch,Global Destination IP,60.0000,0.3088,0.3688,0.0075,0.0371,0.0886,0.5179,1.0000
Protocol,OS Version Patch,Is Proxy,66.0000,0.0758,0.0535,0.0025,0.0362,0.0614,0.1075,0.3059
Protocol,OS Version Patch Minor,Scale Packet Length,4311.0000,0.3309,0.1843,0.0000,0.2000,0.3077,0.4286,1.0000
Protocol,Device Brand,Packet Bin,36.0000,0.1421,0.2303,0.0119,0.0217,0.0370,0.0890,1.0000
Protocol,Device Model,Packet Bin,72.0000,0.1200,0.1735,0.0079,0.0253,0.0573,0.1000,1.0000
Protocol,Device Model,Global Destination IP,46.0000,0.2781,0.3267,0.0050,0.0323,0.1319,0.4006,1.0000
Protocol,Device Model,Is Proxy,48.0000,0.0907,0.1144,0.0013,0.0240,0.0560,0.0886,0.4615
Protocol,Device Type,Packet Bin,72.0000,0.1200,0.1735,0.0079,0.0253,0.0573,0.1000,1.0000
Protocol,Device Type,Global Destination IP,46.0000,0.2781,0.3267,0.0050,0.0323,0.1319,0.4006,1.0000
Protocol,Device Type,Is Proxy,48.0000,0.0907,0.1144,0.0013,0.0240,0.0560,0.0886,0.4615
Protocol,Packet Bin,Scale Packet Length,4311.0000,0.3309,0.1843,0.0000,0.2000,0.3077,0.4286,1.0000
Protocol,Scale Packet Length,Global Source IP,4482.0000,0.3565,0.2207,0.0000,0.2000,0.3333,0.4545,1.0000
Protocol,Scale Packet Length,Global Destination IP,4480.0000,0.3567,0.2210,0.0000,0.2000,0.3333,0.4545,1.0000
Protocol,Scale Packet Length,Is Proxy,8525.0000,0.4922,0.2703,0.0000,0.2500,0.5000,0.6667,1.0000
Packet Type,Traffic Type,Browser Name,54.0000,0.0455,0.0290,0.0051,0.0265,0.0390,0.0557,0.1389
Packet Type,Traffic Type,Browser Version,395.0000,0.1856,0.1712,0.0000,0.0775,0.1471,0.2283,1.0000
Packet Type,Traffic Type,Browser Minor,606.0000,0.2476,0.1462,0.0000,0.1333,0.2308,0.3333,0.7692
Packet Type,Traffic Type,Browser Patch,726.0000,0.2678,0.1532,0.0000,0.1538,0.2500,0.3734,0.8000
Packet Type,Traffic Type,OS Version,132.0000,0.0932,0.0904,0.0000,0.0367,0.0744,0.1157,0.5714
Packet Type,Traffic Type,OS Version Minor,84.0000,0.0752,0.0427,0.0038,0.0421,0.0753,0.1053,0.1981
Packet Type,Traffic Type,OS Version Patch,66.0000,0.0668,0.0398,0.0042,0.0395,0.0629,0.0948,0.1848
Packet Type,Traffic Type,Device Model,48.0000,0.0882,0.1243,0.0021,0.0264,0.0426,0.0941,0.6000
Packet Type,Traffic Type,Device Type,48.0000,0.0882,0.1243,0.0021,0.0264,0.0426,0.0941,0.6000
Packet Type,Traffic Type,Scale Packet Length,8545.0000,0.4888,0.2717,0.0000,0.2500,0.5000,0.6667,1.0000
Packet Type,Malware Indicators,Browser Name,36.0000,0.0407,0.0258,0.0030,0.0220,0.0337,0.0514,0.1206
Packet Type,Malware Indicators,Browser Version,264.0000,0.1469,0.1246,0.0000,0.0667,0.1165,0.1879,0.7500
Packet Type,Malware Indicators,Browser Minor,404.0000,0.2028,0.1126,0.0000,0.1250,0.1905,0.2727,0.6667
Packet Type,Malware Indicators,Browser Patch,484.0000,0.2183,0.1252,0.0000,0.1250,0.2000,0.2941,0.9231
Packet Type,Malware Indicators,OS Version,88.0000,0.0739,0.0622,0.0017,0.0321,0.0535,0.0992,0.3750
Packet Type,Malware Indicators,OS Version Minor,56.0000,0.0568,0.0308,0.0000,0.0360,0.0578,0.0695,0.1742
Packet Type,Malware Indicators,OS Version Patch,44.0000,0.0580,0.0367,0.0043,0.0286,0.0517,0.0762,0.1645
Packet Type,Malware Indicators,Device Model,32.0000,0.0669,0.0778,0.0000,0.0208,0.0429,0.0747,0.3750
Packet Type,Malware Indicators,Device Type,32.0000,0.0669,0.0778,0.0000,0.0208,0.0429,0.0747,0.3750
Packet Type,Malware Indicators,Scale Packet Length,5742.0000,0.3876,0.2204,0.0000,0.2222,0.3333,0.5000,1.0000
Packet Type,Alerts/Warnings,Browser Name,36.0000,0.0410,0.0235,0.0075,0.0224,0.0341,0.0532,0.0918
Packet Type,Alerts/Warnings,Browser Version,263.0000,0.1562,0.1374,0.0000,0.0680,0.1261,0.2000,1.0000
Packet Type,Alerts/Warnings,Browser Minor,404.0000,0.2017,0.1209,0.0000,0.1105,0.1898,0.2727,0.7333
Packet Type,Alerts/Warnings,Browser Patch,484.0000,0.2193,0.1224,0.0000,0.1326,0.2000,0.2857,0.7000
Packet Type,Alerts/Warnings,OS Version,88.0000,0.0676,0.0569,0.0015,0.0259,0.0538,0.0942,0.3333
Packet Type,Alerts/Warnings,OS Version Minor,56.0000,0.0642,0.0396,0.0139,0.0314,0.0609,0.0884,0.2281
Packet Type,Alerts/Warnings,OS Version Patch,44.0000,0.0570,0.0378,0.0127,0.0305,0.0510,0.0715,0.2014
Packet Type,Alerts/Warnings,Device Model,32.0000,0.0604,0.0544,0.0048,0.0229,0.0346,0.0749,0.2105
