Feature 1,Feature 2,Feature 3,count,mean,std,min,25%,50%,75%,max
Traffic Type,Alerts/Warnings,Scale Packet Length,8536.0000,0.4905,0.2677,0.0000,0.2500,0.5000,0.6667,1.0000
Traffic Type,Attack Signature,Scale Packet Length,8543.0000,0.4904,0.2728,0.0000,0.2500,0.5000,0.6667,1.0000
Traffic Type,Severity Level,Packet Bin,27.0000,0.0269,0.0144,0.0036,0.0203,0.0243,0.0318,0.0734
Traffic Type,Firewall Logs,Scale Packet Length,8539.0000,0.4887,0.2727,0.0000,0.2500,0.5000,0.6667,1.0000
Traffic Type,IDS/IPS Alerts,Scale Packet Length,8560.0000,0.4924,0.2738,0.0000,0.2500,0.5000,0.6667,1.0000
Traffic Type,Log Source,Scale Packet Length,8546.0000,0.4890,0.2720,0.0000,0.2500,0.5000,0.6667,1.0000
Traffic Type,Packet Bin,Scale Packet Length,4311.0000,0.3325,0.1847,0.0000,0.2000,0.3077,0.4444,1.0000
Traffic Type,Scale Packet Length,Global Source IP,4487.0000,0.3590,0.2224,0.0000,0.2000,0.3333,0.4615,1.0000
Traffic Type,Scale Packet Length,Global Destination IP,4481.0000,0.3580,0.2213,0.0000,0.2000,0.3333,0.4615,1.0000
Traffic Type,Scale Packet Length,Is Proxy,8553.0000,0.4930,0.2737,0.0000,0.2500,0.5000,0.6667,1.0000
Malware Indicators,Alerts/Warnings,Scale Packet Length,5739.0000,0.3917,0.2230,0.0000,0.2222,0.3571,0.5000,1.0000
Malware Indicators,Attack Signature,Scale Packet Length,5742.0000,0.3871,0.2208,0.0000,0.2222,0.3333,0.5000,1.0000
Malware Indicators,Action Taken,Scale Packet Length,8549.0000,0.4884,0.2733,0.0000,0.2500,0.5000,0.6667,1.0000
Malware Indicators,Severity Level,Scale Packet Length,8538.0000,0.4879,0.2717,0.0000,0.2500,0.5000,0.6667,1.0000
Malware Indicators,Network Segment,Scale Packet Length,8540.0000,0.4860,0.2722,0.0000,0.2500,0.5000,0.6667,1.0000
Malware Indicators,Firewall Logs,Scale Packet Length,5740.0000,0.3863,0.2204,0.0000,0.2222,0.3333,0.5000,1.0000
Malware Indicators,IDS/IPS Alerts,Scale Packet Length,5739.0000,0.3876,0.2214,0.0000,0.2222,0.3333,0.5000,1.0000
Malware Indicators,Log Source,Scale Packet Length,5741.0000,0.3893,0.2204,0.0000,0.2222,0.3333,0.5000,1.0000
Malware Indicators,Packet Bin,Scale Packet Length,2874.0000,0.2638,0.1448,0.0000,0.1579,0.2500,0.3529,1.0000
Malware Indicators,Scale Packet Length,Global Source IP,3046.0000,0.3053,0.2193,0.0000,0.1667,0.2500,0.3750,1.0000
Malware Indicators,Scale Packet Length,Global Destination IP,3043.0000,0.3051,0.2187,0.0000,0.1667,0.2500,0.3750,1.0000
Malware Indicators,Scale Packet Length,Is Proxy,5743.0000,0.3876,0.2221,0.0000,0.2222,0.3333,0.5000,1.0000
Anomaly Scores,Global Source IP,Global Destination IP,10173.0000,0.5507,0.2947,0.0000,0.3333,0.5000,0.7500,1.0000
Alerts/Warnings,Attack Signature,Scale Packet Length,5746.0000,0.3906,0.2195,0.0000,0.2222,0.3571,0.5000,1.0000
Alerts/Warnings,Action Taken,Scale Packet Length,8534.0000,0.4916,0.2721,0.0000,0.2500,0.5000,0.6667,1.0000
Alerts/Warnings,Severity Level,Scale Packet Length,8534.0000,0.4881,0.2735,0.0000,0.2500,0.5000,0.6667,1.0000
Alerts/Warnings,Network Segment,Scale Packet Length,8509.0000,0.4893,0.2691,0.0000,0.2500,0.5000,0.6667,1.0000
Alerts/Warnings,Firewall Logs,Scale Packet Length,5733.0000,0.3902,0.2200,0.0000,0.2222,0.3333,0.5000,1.0000
Alerts/Warnings,IDS/IPS Alerts,Scale Packet Length,5744.0000,0.3930,0.2230,0.0000,0.2222,0.3636,0.5000,1.0000
Alerts/Warnings,Log Source,Scale Packet Length,5743.0000,0.3933,0.2226,0.0000,0.2222,0.3636,0.5000,1.0000
Alerts/Warnings,Packet Bin,Scale Packet Length,2874.0000,0.2687,0.1465,0.0000,0.1667,0.2500,0.3571,1.0000
Alerts/Warnings,Scale Packet Length,Global Source IP,3045.0000,0.3095,0.2186,0.0000,0.1667,0.2667,0.3846,1.0000
Alerts/Warnings,Scale Packet Length,Global Destination IP,3040.0000,0.3085,0.2175,0.0000,0.1667,0.2667,0.3846,1.0000
Alerts/Warnings,Scale Packet Length,Is Proxy,5742.0000,0.3889,0.2251,0.0000,0.2222,0.3333,0.5000,1.0000
Alerts/Warnings,Global Source IP,Global Destination IP,6.0000,0.0759,0.0533,0.0093,0.0293,0.0938,0.1128,0.1313
Attack Signature,Action Taken,Scale Packet Length,8538.0000,0.4889,0.2713,0.0000,0.2500,0.5000,0.6667,1.0000
Attack Signature,Severity Level,Scale Packet Length,8543.0000,0.4916,0.2718,0.0000,0.2500,0.5000,0.6667,1.0000
Attack Signature,Network Segment,Scale Packet Length,8536.0000,0.4907,0.2723,0.0000,0.2500,0.5000,0.6667,1.0000
Attack Signature,Firewall Logs,Scale Packet Length,5742.0000,0.3908,0.2218,0.0000,0.2222,0.3333,0.5000,1.0000
Attack Signature,IDS/IPS Alerts,Scale Packet Length,5741.0000,0.3920,0.2224,0.0000,0.2222,0.3333,0.5000,1.0000
Attack Signature,Log Source,Scale Packet Length,5746.0000,0.3894,0.2206,0.0000,0.2222,0.3333,0.5000,1.0000
Attack Signature,Packet Bin,Scale Packet Length,2874.0000,0.2661,0.1442,0.0000,0.1667,0.2500,0.3571,0.9000
Attack Signature,Scale Packet Length,Global Source IP,3045.0000,0.3072,0.2171,0.0000,0.1667,0.2609,0.3846,1.0000
Attack Signature,Scale Packet Length,Global Destination IP,3038.0000,0.3047,0.2154,0.0000,0.1667,0.2500,0.3750,1.0000
Attack Signature,Scale Packet Length,Is Proxy,5746.0000,0.3882,0.2220,0.0000,0.2222,0.3333,0.5000,1.0000
Action Taken,Firewall Logs,Scale Packet Length,8532.0000,0.4884,0.2732,0.0000,0.2500,0.5000,0.6667,1.0000
Action Taken,IDS/IPS Alerts,Scale Packet Length,8538.0000,0.4925,0.2722,0.0000,0.2500,0.5000,0.6667,1.0000
Action Taken,Log Source,Scale Packet Length,8545.0000,0.4926,0.2738,0.0000,0.2500,0.5000,0.6667,1.0000
Action Taken,Packet Bin,Scale Packet Length,4311.0000,0.3318,0.1870,0.0000,0.2000,0.3000,0.4444,1.0000
Action Taken,Scale Packet Length,Global Source IP,4487.0000,0.3584,0.2238,0.0000,0.2000,0.3333,0.5000,1.0000
Action Taken,Scale Packet Length,Global Destination IP,4480.0000,0.3574,0.2235,0.0000,0.2000,0.3333,0.5000,1.0000
Action Taken,Scale Packet Length,Is Proxy,8550.0000,0.4932,0.2717,0.0000,0.2500,0.5000,0.6667,1.0000
Severity Level,Firewall Logs,Scale Packet Length,8533.0000,0.4918,0.2717,0.0000,0.2500,0.5000,0.6667,1.0000
Severity Level,IDS/IPS Alerts,Scale Packet Length,8534.0000,0.4922,0.2732,0.0000,0.2500,0.5000,0.6667,1.0000
Severity Level,Log Source,Scale Packet Length,8549.0000,0.4935,0.2737,0.0000,0.2500,0.5000,0.6667,1.0000
Severity Level,Packet Bin,Scale Packet Length,4311.0000,0.3338,0.1871,0.0000,0.2000,0.3077,0.4444,1.0000
Severity Level,Scale Packet Length,Global Source IP,4483.0000,0.3595,0.2228,0.0000,0.2000,0.3333,0.4545,1.0000
Severity Level,Scale Packet Length,Global Destination IP,4479.0000,0.3592,0.2222,0.0000,0.2000,0.3333,0.4545,1.0000
Severity Level,Scale Packet Length,Is Proxy,8536.0000,0.4870,0.2725,0.0000,0.2500,0.5000,0.6667,1.0000
Network Segment,Firewall Logs,Scale Packet Length,8541.0000,0.4869,0.2736,0.0000,0.2500,0.5000,0.6667,1.0000
Network Segment,IDS/IPS Alerts,Scale Packet Length,8533.0000,0.4921,0.2706,0.0000,0.2500,0.5000,0.6667,1.0000
Network Segment,Log Source,Scale Packet Length,8554.0000,0.4896,0.2740,0.0000,0.2500,0.5000,0.6667,1.0000
Network Segment,Packet Bin,Scale Packet Length,4311.0000,0.3327,0.1877,0.0000,0.2000,0.3077,0.4444,1.0000
Network Segment,Scale Packet Length,Global Source IP,4483.0000,0.3580,0.2233,0.0000,0.2000,0.3333,0.4545,1.0000
Network Segment,Scale Packet Length,Global Destination IP,4483.0000,0.3587,0.2246,0.0000,0.2000,0.3333,0.4545,1.0000
Network Segment,Scale Packet Length,Is Proxy,8531.0000,0.4886,0.2728,0.0000,0.2500,0.5000,0.6667,1.0000
Geo-location Data,Global Source IP,Global Destination IP,9068.0000,0.5149,0.2873,0.0000,0.2500,0.5000,0.6667,1.0000
Firewall Logs,IDS/IPS Alerts,Scale Packet Length,5743.0000,0.3929,0.2218,0.0000,0.2222,0.3636,0.5000,1.0000
Firewall Logs,Log Source,Scale Packet Length,5744.0000,0.3886,0.2219,0.0000,0.2222,0.3333,0.5000,1.0000
Firewall Logs,Packet Bin,Scale Packet Length,2874.0000,0.2665,0.1433,0.0000,0.1667,0.2500,0.3571,1.0000
Firewall Logs,Scale Packet Length,Global Source IP,3045.0000,0.3073,0.2170,0.0000,0.1667,0.2500,0.3750,1.0000
Firewall Logs,Scale Packet Length,Global Destination IP,3039.0000,0.3055,0.2155,0.0000,0.1667,0.2500,0.3750,1.0000
Firewall Logs,Scale Packet Length,Is Proxy,5743.0000,0.3875,0.2203,0.0000,0.2222,0.3333,0.5000,1.0000
Firewall Logs,Global Source IP,Global Destination IP,6.0000,0.0652,0.0519,0.0041,0.0218,0.0735,0.0933,0.1354
IDS/IPS Alerts,Log Source,Scale Packet Length,5742.0000,0.3922,0.2232,0.0000,0.2222,0.3571,0.5000,1.0000
IDS/IPS Alerts,Packet Bin,Scale Packet Length,2874.0000,0.2711,0.1455,0.0000,0.1667,0.2500,0.3636,1.0000
IDS/IPS Alerts,Scale Packet Length,Global Source IP,3042.0000,0.3111,0.2164,0.0000,0.1667,0.2667,0.3889,1.0000
IDS/IPS Alerts,Scale Packet Length,Global Destination IP,3043.0000,0.3114,0.2181,0.0000,0.1667,0.2667,0.3846,1.0000
IDS/IPS Alerts,Scale Packet Length,Is Proxy,5745.0000,0.3889,0.2230,0.0000,0.2222,0.3333,0.5000,1.0000
Log Source,Packet Bin,Scale Packet Length,2874.0000,0.2655,0.1431,0.0000,0.1667,0.2500,0.3571,1.0000
Log Source,Scale Packet Length,Global Source IP,3048.0000,0.3067,0.2181,0.0000,0.1667,0.2500,0.3750,1.0000
Log Source,Scale Packet Length,Global Destination IP,3044.0000,0.3065,0.2183,0.0000,0.1667,0.2500,0.3750,1.0000
Log Source,Scale Packet Length,Is Proxy,5745.0000,0.3892,0.2199,0.0000,0.2222,0.3333,0.5000,1.0000
Packet Bin,Scale Packet Length,Global Source IP,1599.0000,0.2650,0.2561,0.0000,0.1250,0.1905,0.2857,1.0000
Packet Bin,Scale Packet Length,Global Destination IP,1597.0000,0.2647,0.2563,0.0000,0.1250,0.1875,0.2857,1.0000
Packet Bin,Scale Packet Length,Is Proxy,2874.0000,0.2670,0.1466,0.0000,0.1579,0.2500,0.3571,0.8889
Scale Packet Length,Global Source IP,Global Destination IP,1759.0000,0.3294,0.3197,0.0000,0.1290,0.2059,0.3333,1.0000
Scale Packet Length,Global Source IP,Is Proxy,3044.0000,0.3075,0.2191,0.0000,0.1667,0.2667,0.3846,1.0000
Scale Packet Length,Global Destination IP,Is Proxy,3042.0000,0.3075,0.2188,0.0000,0.1667,0.2649,0.3846,1.0000
