Feature 1,Feature 2,Feature 3,count,mean,std,min,25%,50%,75%,max
Protocol,Traffic Type,Second,540.0000,0.1128,0.0585,0.0000,0.0694,0.1077,0.1493,0.3220
Protocol,Traffic Type,DayOfWeek,63.0000,0.0394,0.0197,0.0049,0.0252,0.0420,0.0525,0.0808
Protocol,Traffic Type,Browser Name,81.0000,0.0571,0.0346,0.0059,0.0326,0.0531,0.0700,0.1988
Protocol,Traffic Type,Browser Version,591.0000,0.2279,0.1900,0.0000,0.1027,0.1905,0.2778,1.0000
Protocol,Traffic Type,Browser Minor,909.0000,0.3204,0.1881,0.0000,0.1818,0.3000,0.4286,1.0000
Protocol,Traffic Type,Browser Patch,1089.0000,0.3244,0.1902,0.0000,0.1818,0.3000,0.4286,1.0000
Protocol,Traffic Type,OS Name,45.0000,0.0377,0.0218,0.0057,0.0216,0.0345,0.0539,0.0861
Protocol,Traffic Type,OS Version,198.0000,0.1086,0.1066,0.0067,0.0504,0.0832,0.1217,0.8333
Protocol,Traffic Type,OS Version Minor,126.0000,0.0933,0.0658,0.0015,0.0428,0.0789,0.1340,0.2917
Protocol,Traffic Type,OS Version Patch,99.0000,0.0959,0.0568,0.0068,0.0539,0.0845,0.1370,0.2288
Protocol,Traffic Type,Device Brand,36.0000,0.1534,0.2498,0.0039,0.0202,0.0356,0.0935,1.0000
Protocol,Traffic Type,Device Model,72.0000,0.1247,0.1804,0.0000,0.0396,0.0620,0.1172,1.0000
Protocol,Traffic Type,Device Type,72.0000,0.1247,0.1804,0.0000,0.0396,0.0620,0.1172,1.0000
Protocol,Malware Indicators,Month,72.0000,0.0388,0.0208,0.0017,0.0235,0.0367,0.0471,0.0931
Protocol,Malware Indicators,Day,186.0000,0.0720,0.0345,0.0042,0.0468,0.0688,0.0967,0.2137
Protocol,Malware Indicators,Hour,144.0000,0.0584,0.0298,0.0032,0.0376,0.0562,0.0757,0.1516
Protocol,Malware Indicators,Minute,360.0000,0.0898,0.0503,0.0000,0.0505,0.0860,0.1240,0.2542
Protocol,Malware Indicators,Second,360.0000,0.0932,0.0489,0.0076,0.0575,0.0857,0.1237,0.2437
Protocol,Malware Indicators,DayOfWeek,42.0000,0.0318,0.0184,0.0053,0.0210,0.0289,0.0400,0.0839
Protocol,Malware Indicators,Browser Name,54.0000,0.0465,0.0306,0.0133,0.0253,0.0347,0.0587,0.1484
Protocol,Malware Indicators,Browser Version,396.0000,0.1946,0.1702,0.0000,0.0909,0.1562,0.2333,1.0000
Protocol,Malware Indicators,Browser Minor,606.0000,0.2569,0.1448,0.0000,0.1500,0.2500,0.3333,1.0000
Protocol,Malware Indicators,Browser Patch,726.0000,0.2684,0.1566,0.0000,0.1538,0.2367,0.3750,0.9091
Protocol,Malware Indicators,OS Version,132.0000,0.0879,0.0871,0.0064,0.0391,0.0622,0.1056,0.6250
Protocol,Malware Indicators,OS Version Minor,84.0000,0.0722,0.0443,0.0031,0.0400,0.0645,0.1017,0.1869
Protocol,Malware Indicators,OS Version Patch,66.0000,0.0700,0.0499,0.0035,0.0400,0.0588,0.0968,0.2842
Protocol,Malware Indicators,Device Model,48.0000,0.0938,0.1240,0.0038,0.0238,0.0525,0.1015,0.7000
Protocol,Malware Indicators,Device Type,48.0000,0.0938,0.1240,0.0038,0.0238,0.0525,0.1015,0.7000
Protocol,Malware Indicators,Scale Packet Length,8531.0000,0.4849,0.2719,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Alerts/Warnings,Month,72.0000,0.0432,0.0209,0.0093,0.0266,0.0379,0.0569,0.1040
Protocol,Alerts/Warnings,Day,186.0000,0.0678,0.0351,0.0041,0.0413,0.0611,0.0924,0.1659
Protocol,Alerts/Warnings,Hour,144.0000,0.0592,0.0280,0.0100,0.0373,0.0545,0.0783,0.1374
Protocol,Alerts/Warnings,Minute,360.0000,0.0918,0.0478,0.0084,0.0561,0.0877,0.1221,0.2353
Protocol,Alerts/Warnings,Second,360.0000,0.0904,0.0507,0.0084,0.0525,0.0825,0.1220,0.3333
Protocol,Alerts/Warnings,DayOfWeek,42.0000,0.0318,0.0163,0.0050,0.0222,0.0301,0.0417,0.0764
Protocol,Alerts/Warnings,Browser Name,54.0000,0.0494,0.0304,0.0000,0.0310,0.0416,0.0629,0.1226
Protocol,Alerts/Warnings,Browser Version,394.0000,0.1894,0.1557,0.0000,0.0930,0.1613,0.2333,1.0000
Protocol,Alerts/Warnings,Browser Minor,606.0000,0.2490,0.1458,0.0000,0.1429,0.2308,0.3333,0.7500
Protocol,Alerts/Warnings,Browser Patch,726.0000,0.2737,0.1637,0.0000,0.1429,0.2500,0.3750,0.8571
Protocol,Alerts/Warnings,OS Version,132.0000,0.0889,0.0809,0.0031,0.0407,0.0714,0.0987,0.4444
Protocol,Alerts/Warnings,OS Version Minor,84.0000,0.0714,0.0413,0.0051,0.0434,0.0620,0.0975,0.1735
Protocol,Alerts/Warnings,OS Version Patch,66.0000,0.0686,0.0479,0.0012,0.0296,0.0544,0.0930,0.2078
Protocol,Alerts/Warnings,Device Model,48.0000,0.0962,0.1215,0.0032,0.0258,0.0505,0.1041,0.5556
Protocol,Alerts/Warnings,Device Type,48.0000,0.0962,0.1215,0.0032,0.0258,0.0505,0.1041,0.5556
Protocol,Alerts/Warnings,Scale Packet Length,8541.0000,0.4900,0.2714,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Attack Signature,Month,72.0000,0.0430,0.0202,0.0113,0.0277,0.0394,0.0541,0.1050
Protocol,Attack Signature,Day,186.0000,0.0675,0.0368,0.0000,0.0379,0.0628,0.0867,0.1966
Protocol,Attack Signature,Hour,144.0000,0.0618,0.0309,0.0081,0.0397,0.0571,0.0804,0.1685
Protocol,Attack Signature,Minute,360.0000,0.0921,0.0492,0.0078,0.0545,0.0870,0.1226,0.2475
Protocol,Attack Signature,Second,360.0000,0.0901,0.0458,0.0082,0.0526,0.0878,0.1220,0.2661
Protocol,Attack Signature,Browser Name,54.0000,0.0457,0.0275,0.0040,0.0270,0.0410,0.0629,0.1350
Protocol,Attack Signature,Browser Version,394.0000,0.1898,0.1611,0.0000,0.0883,0.1562,0.2308,1.0000
Protocol,Attack Signature,Browser Minor,606.0000,0.2462,0.1426,0.0000,0.1333,0.2308,0.3333,0.8571
Protocol,Attack Signature,Browser Patch,726.0000,0.2654,0.1573,0.0000,0.1429,0.2500,0.3636,1.0000
Protocol,Attack Signature,OS Version,132.0000,0.0772,0.0702,0.0000,0.0363,0.0573,0.0909,0.4167
Protocol,Attack Signature,OS Version Minor,84.0000,0.0711,0.0449,0.0054,0.0356,0.0619,0.1016,0.1724
Protocol,Attack Signature,OS Version Patch,66.0000,0.0707,0.0459,0.0039,0.0356,0.0669,0.0968,0.1837
Protocol,Attack Signature,Scale Packet Length,8537.0000,0.4883,0.2705,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Action Taken,Month,108.0000,0.0515,0.0292,0.0034,0.0298,0.0475,0.0700,0.1438
Protocol,Action Taken,Day,279.0000,0.0823,0.0452,0.0061,0.0473,0.0775,0.1140,0.2174
Protocol,Action Taken,Hour,216.0000,0.0702,0.0375,0.0052,0.0407,0.0642,0.0935,0.2061
Protocol,Action Taken,Minute,540.0000,0.1170,0.0589,0.0000,0.0735,0.1118,0.1507,0.3226
Protocol,Action Taken,Second,540.0000,0.1145,0.0598,0.0000,0.0714,0.1096,0.1508,0.3333
Protocol,Action Taken,DayOfWeek,63.0000,0.0367,0.0189,0.0064,0.0234,0.0334,0.0498,0.0906
Protocol,Action Taken,Browser Name,81.0000,0.0546,0.0319,0.0034,0.0329,0.0524,0.0722,0.1937
Protocol,Action Taken,Browser Version,590.0000,0.2294,0.1953,0.0000,0.1053,0.1875,0.2857,1.0000
Protocol,Action Taken,Browser Minor,908.0000,0.3161,0.1845,0.0000,0.1818,0.3000,0.4286,1.0000
Protocol,Action Taken,Browser Patch,1089.0000,0.3246,0.1936,0.0000,0.1818,0.3077,0.4286,1.0000
Protocol,Action Taken,OS Name,45.0000,0.0375,0.0210,0.0040,0.0248,0.0313,0.0435,0.1046
Protocol,Action Taken,OS Version,198.0000,0.1080,0.1095,0.0000,0.0465,0.0811,0.1214,0.7500
Protocol,Action Taken,OS Version Minor,126.0000,0.0931,0.0554,0.0000,0.0473,0.0918,0.1250,0.2778
Protocol,Action Taken,OS Version Patch,99.0000,0.0911,0.0515,0.0028,0.0504,0.0913,0.1257,0.2615
Protocol,Action Taken,Device Brand,36.0000,0.1452,0.2293,0.0039,0.0208,0.0312,0.0803,0.8333
Protocol,Action Taken,Device Model,72.0000,0.1158,0.1688,0.0042,0.0299,0.0574,0.1032,0.8333
Protocol,Action Taken,Device Type,72.0000,0.1158,0.1688,0.0042,0.0299,0.0574,0.1032,0.8333
Protocol,Action Taken,Scale Packet Length,12318.0000,0.5967,0.2978,0.0000,0.4000,0.6000,0.8000,1.0000
Protocol,Severity Level,Month,108.0000,0.0515,0.0215,0.0079,0.0357,0.0499,0.0654,0.1230
Protocol,Severity Level,Day,279.0000,0.0827,0.0422,0.0074,0.0505,0.0806,0.1086,0.2164
Protocol,Severity Level,Hour,216.0000,0.0683,0.0363,0.0051,0.0388,0.0658,0.0953,0.1598
Protocol,Severity Level,Minute,540.0000,0.1121,0.0575,0.0000,0.0694,0.1081,0.1447,0.3049
Protocol,Severity Level,Second,540.0000,0.1147,0.0601,0.0000,0.0706,0.1117,0.1493,0.3659
Protocol,Severity Level,DayOfWeek,63.0000,0.0409,0.0230,0.0015,0.0225,0.0374,0.0555,0.1079
Protocol,Severity Level,Browser Name,81.0000,0.0586,0.0331,0.0087,0.0317,0.0592,0.0736,0.1618
Protocol,Severity Level,Browser Version,592.0000,0.2357,0.1963,0.0000,0.1027,0.2000,0.2941,1.0000
Protocol,Severity Level,Browser Minor,909.0000,0.3132,0.1822,0.0000,0.1818,0.3000,0.4000,1.0000
Protocol,Severity Level,Browser Patch,1089.0000,0.3327,0.1995,0.0000,0.2000,0.3077,0.4545,1.0000
Protocol,Severity Level,OS Name,45.0000,0.0403,0.0242,0.0080,0.0210,0.0376,0.0562,0.1240
Protocol,Severity Level,OS Version,198.0000,0.1124,0.0944,0.0063,0.0498,0.0846,0.1429,0.5000
Protocol,Severity Level,OS Version Minor,126.0000,0.0966,0.0623,0.0000,0.0546,0.0915,0.1244,0.3247
Protocol,Severity Level,OS Version Patch,99.0000,0.0905,0.0545,0.0053,0.0512,0.0800,0.1280,0.2857
Protocol,Severity Level,Device Model,72.0000,0.1115,0.1359,0.0042,0.0323,0.0672,0.1044,0.6000
Protocol,Severity Level,Device Type,72.0000,0.1115,0.1359,0.0042,0.0323,0.0672,0.1044,0.6000
Protocol,Network Segment,Year,36.0000,0.0330,0.0158,0.0119,0.0222,0.0285,0.0388,0.0801
Protocol,Network Segment,Month,108.0000,0.0495,0.0262,0.0025,0.0314,0.0456,0.0671,0.1485
Protocol,Network Segment,Day,279.0000,0.0830,0.0431,0.0000,0.0502,0.0784,0.1092,0.2561
Protocol,Network Segment,Hour,216.0000,0.0729,0.0386,0.0000,0.0443,0.0679,0.0984,0.1899
Protocol,Network Segment,Minute,540.0000,0.1156,0.0634,0.0120,0.0657,0.1071,0.1552,0.3768
Protocol,Network Segment,Second,540.0000,0.1141,0.0625,0.0000,0.0676,0.1067,0.1538,0.3684
Protocol,Network Segment,DayOfWeek,63.0000,0.0341,0.0206,0.0030,0.0217,0.0291,0.0409,0.1160
Protocol,Network Segment,Browser Name,81.0000,0.0554,0.0355,0.0047,0.0275,0.0487,0.0741,0.1514
Protocol,Network Segment,Browser Version,588.0000,0.2148,0.1753,0.0000,0.0927,0.1818,0.2857,1.0000
Protocol,Network Segment,Browser Minor,908.0000,0.3148,0.1792,0.0000,0.1818,0.3000,0.4286,1.0000
Protocol,Network Segment,Browser Patch,1089.0000,0.3341,0.2001,0.0000,0.2000,0.3077,0.4444,1.0000
Protocol,Network Segment,OS Version,198.0000,0.1072,0.1061,0.0038,0.0448,0.0765,0.1345,0.6667
Protocol,Network Segment,OS Version Minor,126.0000,0.0970,0.0631,0.0053,0.0480,0.0902,0.1365,0.2969
Protocol,Network Segment,OS Version Patch,99.0000,0.0900,0.0566,0.0034,0.0474,0.0833,0.1217,0.3125
Protocol,Network Segment,Device Model,72.0000,0.1104,0.1465,0.0053,0.0279,0.0572,0.1252,0.7143
Protocol,Network Segment,Device Type,72.0000,0.1104,0.1465,0.0053,0.0279,0.0572,0.1252,0.7143
Protocol,Network Segment,Packet Bin,27.0000,0.0294,0.0125,0.0052,0.0227,0.0288,0.0377,0.0490
Protocol,Firewall Logs,Month,72.0000,0.0405,0.0184,0.0071,0.0279,0.0393,0.0521,0.0961
Protocol,Firewall Logs,Day,186.0000,0.0652,0.0343,0.0000,0.0373,0.0608,0.0852,0.1822
Protocol,Firewall Logs,Hour,144.0000,0.0564,0.0287,0.0037,0.0343,0.0549,0.0733,0.1254
Protocol,Firewall Logs,Minute,360.0000,0.0914,0.0481,0.0000,0.0546,0.0833,0.1216,0.2571
Protocol,Firewall Logs,Second,360.0000,0.0934,0.0502,0.0000,0.0553,0.0856,0.1250,0.2619
Protocol,Firewall Logs,DayOfWeek,42.0000,0.0330,0.0170,0.0053,0.0219,0.0301,0.0418,0.0850
Protocol,Firewall Logs,Browser Name,54.0000,0.0450,0.0313,0.0015,0.0248,0.0376,0.0563,0.1472
Protocol,Firewall Logs,Browser Version,396.0000,0.1913,0.1653,0.0000,0.0857,0.1589,0.2500,1.0000
Protocol,Firewall Logs,Browser Minor,606.0000,0.2502,0.1524,0.0000,0.1429,0.2308,0.3333,0.8750
Protocol,Firewall Logs,Browser Patch,726.0000,0.2620,0.1498,0.0000,0.1429,0.2353,0.3636,0.7778
Protocol,Firewall Logs,OS Version,132.0000,0.0855,0.0917,0.0100,0.0373,0.0627,0.0941,0.6667
Protocol,Firewall Logs,OS Version Minor,84.0000,0.0702,0.0443,0.0043,0.0366,0.0659,0.0952,0.1857
Protocol,Firewall Logs,OS Version Patch,66.0000,0.0758,0.0481,0.0061,0.0357,0.0711,0.1051,0.2447
Protocol,Firewall Logs,Device Model,48.0000,0.0899,0.1092,0.0051,0.0274,0.0513,0.1040,0.4667
Protocol,Firewall Logs,Device Type,48.0000,0.0899,0.1092,0.0051,0.0274,0.0513,0.1040,0.4667
Protocol,Firewall Logs,Scale Packet Length,8528.0000,0.4882,0.2711,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,IDS/IPS Alerts,Month,72.0000,0.0407,0.0193,0.0085,0.0284,0.0390,0.0522,0.0856
Protocol,IDS/IPS Alerts,Day,186.0000,0.0665,0.0384,0.0000,0.0383,0.0614,0.0886,0.2212
Protocol,IDS/IPS Alerts,Hour,144.0000,0.0588,0.0297,0.0072,0.0350,0.0545,0.0801,0.1522
Protocol,IDS/IPS Alerts,Minute,360.0000,0.0919,0.0498,0.0000,0.0561,0.0882,0.1186,0.3039
Protocol,IDS/IPS Alerts,Second,360.0000,0.0911,0.0476,0.0000,0.0583,0.0840,0.1216,0.2857
Protocol,IDS/IPS Alerts,Browser Name,54.0000,0.0434,0.0272,0.0027,0.0235,0.0406,0.0516,0.1259
Protocol,IDS/IPS Alerts,Browser Version,396.0000,0.1977,0.1690,0.0000,0.0882,0.1667,0.2574,1.0000
Protocol,IDS/IPS Alerts,Browser Minor,605.0000,0.2542,0.1489,0.0000,0.1389,0.2308,0.3500,0.8000
Protocol,IDS/IPS Alerts,Browser Patch,726.0000,0.2666,0.1495,0.0000,0.1538,0.2500,0.3571,0.8333
Protocol,IDS/IPS Alerts,OS Version,132.0000,0.0847,0.0788,0.0000,0.0377,0.0661,0.1032,0.5000
Protocol,IDS/IPS Alerts,OS Version Minor,84.0000,0.0753,0.0459,0.0017,0.0365,0.0713,0.1077,0.1957
Protocol,IDS/IPS Alerts,OS Version Patch,66.0000,0.0756,0.0487,0.0027,0.0420,0.0711,0.0990,0.2556
Protocol,IDS/IPS Alerts,Device Model,48.0000,0.1000,0.1505,0.0021,0.0215,0.0404,0.0997,0.7500
Protocol,IDS/IPS Alerts,Device Type,48.0000,0.1000,0.1505,0.0021,0.0215,0.0404,0.0997,0.7500
Protocol,IDS/IPS Alerts,Scale Packet Length,8553.0000,0.4909,0.2725,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Log Source,Month,72.0000,0.0425,0.0221,0.0087,0.0229,0.0424,0.0602,0.1047
Protocol,Log Source,Day,186.0000,0.0678,0.0385,0.0044,0.0369,0.0667,0.0945,0.2132
Protocol,Log Source,Hour,144.0000,0.0582,0.0302,0.0037,0.0375,0.0535,0.0809,0.1623
Protocol,Log Source,Minute,360.0000,0.0924,0.0449,0.0097,0.0561,0.0882,0.1208,0.2500
Protocol,Log Source,Second,360.0000,0.0908,0.0504,0.0083,0.0525,0.0848,0.1217,0.3125
Protocol,Log Source,Browser Name,54.0000,0.0448,0.0269,0.0047,0.0235,0.0427,0.0565,0.1260
Protocol,Log Source,Browser Version,395.0000,0.1901,0.1555,0.0000,0.0863,0.1579,0.2500,1.0000
Protocol,Log Source,Browser Minor,606.0000,0.2500,0.1485,0.0000,0.1333,0.2353,0.3333,0.8333
Protocol,Log Source,Browser Patch,726.0000,0.2698,0.1601,0.0000,0.1429,0.2500,0.3750,1.0000
Protocol,Log Source,OS Version,132.0000,0.0916,0.0997,0.0037,0.0403,0.0674,0.0985,0.6667
Protocol,Log Source,OS Version Minor,84.0000,0.0786,0.0542,0.0045,0.0390,0.0702,0.1024,0.2388
Protocol,Log Source,OS Version Patch,66.0000,0.0713,0.0469,0.0000,0.0380,0.0644,0.0921,0.2212
Protocol,Log Source,Device Model,48.0000,0.0920,0.1204,0.0033,0.0204,0.0551,0.0980,0.6000
Protocol,Log Source,Device Type,48.0000,0.0920,0.1204,0.0033,0.0204,0.0551,0.0980,0.6000
Protocol,Log Source,Scale Packet Length,8530.0000,0.4855,0.2731,0.0000,0.2500,0.5000,0.6667,1.0000
Protocol,Year,Month,138.0000,0.0590,0.0313,0.0062,0.0354,0.0537,0.0752,0.1835
Protocol,Year,Day,372.0000,0.0917,0.0517,0.0000,0.0540,0.0833,0.1242,0.2348
Protocol,Year,Hour,288.0000,0.0832,0.0435,0.0063,0.0509,0.0804,0.1094,0.2600
Protocol,Year,Minute,720.0000,0.1348,0.0703,0.0000,0.0806,0.1282,0.1818,0.4359
Protocol,Year,Second,720.0000,0.1300,0.0687,0.0000,0.0784,0.1226,0.1673,0.3864
Protocol,Year,DayOfWeek,84.0000,0.0427,0.0231,0.0099,0.0284,0.0395,0.0534,0.1470
Protocol,Year,Browser Name,108.0000,0.0618,0.0400,0.0048,0.0320,0.0523,0.0768,0.1818
Protocol,Year,Browser Version,782.0000,0.2585,0.2023,0.0000,0.1176,0.2143,0.3333,1.0000
Protocol,Year,Browser Minor,1211.0000,0.3607,0.2192,0.0000,0.2000,0.3333,0.5000,1.0000
Protocol,Year,Browser Patch,1447.0000,0.3866,0.2337,0.0000,0.2000,0.3333,0.5000,1.0000
Protocol,Year,OS Name,60.0000,0.0395,0.0229,0.0033,0.0204,0.0367,0.0507,0.1047
Protocol,Year,OS Version,264.0000,0.1306,0.1412,0.0000,0.0512,0.0933,0.1494,1.0000
Protocol,Year,OS Version Minor,168.0000,0.0997,0.0632,0.0000,0.0469,0.0932,0.1382,0.3529
Protocol,Year,OS Version Patch,132.0000,0.1008,0.0708,0.0059,0.0457,0.0896,0.1313,0.3158
Protocol,Year,Device Model,96.0000,0.1288,0.1807,0.0000,0.0285,0.0650,0.1213,1.0000
Protocol,Year,Device Type,96.0000,0.1288,0.1807,0.0000,0.0285,0.0650,0.1213,1.0000
Protocol,Year,Packet Bin,36.0000,0.0315,0.0192,0.0040,0.0217,0.0274,0.0434,0.1091
Protocol,Month,Day,1098.0000,0.1685,0.0902,0.0000,0.1034,0.1571,0.2239,0.4815
Protocol,Month,Hour,864.0000,0.1427,0.0796,0.0000,0.0816,0.1290,0.1923,0.5556
Protocol,Month,Minute,2160.0000,0.2308,0.1257,0.0000,0.1333,0.2174,0.3077,0.8182
Protocol,Month,Second,2160.0000,0.2311,0.1284,0.0000,0.1364,0.2174,0.3052,0.9167
Protocol,Month,DayOfWeek,252.0000,0.0790,0.0424,0.0052,0.0478,0.0734,0.1047,0.2722
Protocol,Month,IsWeekend,72.0000,0.0446,0.0254,0.0078,0.0219,0.0440,0.0603,0.1216
Protocol,Month,Browser Name,324.0000,0.1027,0.0686,0.0000,0.0556,0.0859,0.1353,0.3947
Protocol,Month,Browser Version,2265.0000,0.4192,0.2791,0.0000,0.2000,0.3750,0.6000,1.0000
Protocol,Month,Browser Patch Minor,72.0000,0.0510,0.0322,0.0112,0.0275,0.0430,0.0650,0.1596
Protocol,Month,OS Name,180.0000,0.0752,0.0444,0.0000,0.0376,0.0667,0.1037,0.2278
Protocol,Month,OS Version,783.0000,0.2066,0.1873,0.0000,0.0826,0.1538,0.2500,1.0000
Protocol,Month,OS Version Minor,504.0000,0.1822,0.1166,0.0000,0.0936,0.1667,0.2500,0.6000
Protocol,Month,OS Version Patch,396.0000,0.1771,0.1195,0.0000,0.0905,0.1538,0.2500,0.8333
Protocol,Month,Device Brand,137.0000,0.2122,0.3239,0.0000,0.0317,0.0657,0.1221,1.0000
Protocol,Month,Device Model,281.0000,0.2028,0.2422,0.0000,0.0612,0.1118,0.2222,1.0000
Protocol,Month,Device Type,281.0000,0.2028,0.2422,0.0000,0.0612,0.1118,0.2222,1.0000
Protocol,Month,Packet Bin,108.0000,0.0504,0.0273,0.0048,0.0322,0.0474,0.0665,0.1401
Protocol,Month,Global Source IP,71.0000,0.2117,0.2562,0.0000,0.0257,0.0444,0.3542,1.0000
Protocol,Month,Global Destination IP,72.0000,0.2708,0.3186,0.0000,0.0284,0.0631,0.4583,1.0000
Protocol,Month,Is Proxy,72.0000,0.0442,0.0226,0.0017,0.0273,0.0441,0.0581,0.0946
Protocol,Day,Hour,2232.0000,0.2369,0.1290,0.0000,0.1429,0.2222,0.3125,0.7692
Protocol,Day,Minute,5572.0000,0.3874,0.2218,0.0000,0.2222,0.3333,0.5000,1.0000
Protocol,Day,Second,5575.0000,0.3815,0.2237,0.0000,0.2222,0.3333,0.5000,1.0000
Protocol,Day,DayOfWeek,651.0000,0.1281,0.0699,0.0000,0.0746,0.1186,0.1711,0.4222
Protocol,Day,IsWeekend,186.0000,0.0759,0.0441,0.0082,0.0443,0.0662,0.1012,0.2419
Protocol,Day,Browser Name,837.0000,0.1722,0.1123,0.0000,0.0926,0.1522,0.2222,0.6667
Protocol,Day,Browser Patch Minor,186.0000,0.0815,0.0531,0.0056,0.0405,0.0697,0.1057,0.2500
Protocol,Day,OS Name,465.0000,0.1228,0.0729,0.0000,0.0678,0.1071,0.1714,0.4068
Protocol,Day,OS Version,1977.0000,0.3203,0.2502,0.0000,0.1429,0.2500,0.4286,1.0000
Protocol,Day,OS Version Minor,1301.0000,0.3132,0.2173,0.0000,0.1429,0.2727,0.4286,1.0000
Protocol,Day,OS Version Patch,1021.0000,0.2950,0.2004,0.0000,0.1429,0.2500,0.4000,1.0000
Protocol,Day,OS Version Patch Minor,93.0000,0.0488,0.0253,0.0045,0.0296,0.0451,0.0662,0.1273
Protocol,Day,Device Brand,328.0000,0.2210,0.3056,0.0000,0.0600,0.0975,0.1823,1.0000
Protocol,Day,Device Model,700.0000,0.2668,0.2579,0.0000,0.0958,0.1888,0.3217,1.0000
Protocol,Day,Device Type,700.0000,0.2668,0.2579,0.0000,0.0958,0.1888,0.3217,1.0000
Protocol,Day,Packet Bin,279.0000,0.0882,0.0495,0.0047,0.0539,0.0806,0.1131,0.2714
Protocol,Day,Global Source IP,174.0000,0.3650,0.3943,0.0000,0.0392,0.0845,0.6667,1.0000
Protocol,Day,Global Destination IP,174.0000,0.3426,0.3888,0.0000,0.0374,0.0761,0.6667,1.0000
Protocol,Day,Is Proxy,186.0000,0.0695,0.0368,0.0045,0.0414,0.0653,0.0921,0.1685
Protocol,Hour,Minute,4320.0000,0.3370,0.1905,0.0000,0.2000,0.3077,0.4444,1.0000
Protocol,Hour,Second,4319.0000,0.3381,0.1870,0.0000,0.2000,0.3077,0.4444,1.0000
Protocol,Hour,DayOfWeek,504.0000,0.1122,0.0590,0.0000,0.0694,0.1038,0.1502,0.3294
Protocol,Hour,IsWeekend,144.0000,0.0636,0.0359,0.0098,0.0364,0.0586,0.0843,0.2229
Protocol,Hour,Browser Name,648.0000,0.1543,0.1015,0.0000,0.0780,0.1340,0.2000,0.5333
Protocol,Hour,Browser Patch Minor,144.0000,0.0694,0.0412,0.0071,0.0416,0.0563,0.0962,0.1786
Protocol,Hour,OS Name,360.0000,0.1085,0.0614,0.0076,0.0629,0.0971,0.1472,0.3443
Protocol,Hour,OS Version,1549.0000,0.2849,0.2338,0.0000,0.1250,0.2143,0.3571,1.0000
Protocol,Hour,OS Version Minor,1008.0000,0.2720,0.1811,0.0000,0.1333,0.2466,0.3750,1.0000
Protocol,Hour,OS Version Patch,792.0000,0.2530,0.1700,0.0000,0.1250,0.2308,0.3588,1.0000
Protocol,Hour,OS Version Patch Minor,72.0000,0.0421,0.0208,0.0053,0.0248,0.0430,0.0572,0.1115
Protocol,Hour,Device Brand,256.0000,0.2045,0.2907,0.0060,0.0509,0.0896,0.1565,1.0000
Protocol,Hour,Device Model,544.0000,0.2344,0.2297,0.0000,0.0903,0.1600,0.2778,1.0000
